Week,e.l.f: (United States),PUR: (United States),TARTE: (United States),SEPHORA: (United States),NYX: (United States)
2021-01-03,0,10,8,17,8
2021-01-10,0,6,4,23,11
2021-01-17,0,8,6,15,9
2021-01-24,0,2,4,25,11
2021-01-31,0,6,3,21,8
2021-02-07,0,6,4,24,4
2021-02-14,0,5,17,17,9
2021-02-21,5,10,5,20,11
2021-02-28,3,0,8,24,11
2021-03-07,0,3,0,13,8
2021-03-14,1,6,8,14,9
2021-03-21,0,4,7,23,9
2021-03-28,2,5,6,18,13
2021-04-04,0,6,2,24,11
2021-04-11,0,8,5,28,11
2021-04-18,0,3,11,27,11
2021-04-25,0,5,5,22,11
2021-05-02,3,8,9,21,9
2021-05-09,0,7,8,17,10
2021-05-16,0,7,3,21,7
2021-05-23,0,3,4,20,2
2021-05-30,0,6,5,19,11
2021-06-06,0,7,11,19,12
2021-06-13,0,5,4,25,2
2021-06-20,0,6,2,16,4
2021-06-27,0,4,6,20,0
2021-07-04,0,6,5,20,2
2021-07-11,0,5,0,22,7
2021-07-18,0,9,5,25,12
2021-07-25,0,4,9,26,9
2021-08-01,2,6,6,24,12
2021-08-08,0,7,0,31,5
2021-08-15,2,10,4,23,4
2021-08-22,0,6,4,17,7
2021-08-29,0,13,0,21,8
2021-09-05,2,8,2,16,6
2021-09-12,0,12,5,20,6
2021-09-19,0,8,3,20,8
2021-09-26,0,8,7,28,4
2021-10-03,0,8,5,19,9
2021-10-10,0,8,3,19,9
2021-10-17,0,6,8,24,6
2021-10-24,0,4,4,23,11
2021-10-31,2,0,6,31,8
2021-11-07,0,4,5,30,13
2021-11-14,0,6,7,25,10
2021-11-21,0,6,9,39,13
2021-11-28,0,5,8,40,9
2021-12-05,0,6,9,33,14
2021-12-12,0,8,9,45,9
2021-12-19,0,6,0,48,5
2021-12-26,0,5,6,36,8
2022-01-02,0,4,5,24,24
2022-01-09,0,4,9,26,10
2022-01-16,0,6,0,28,4
2022-01-23,0,6,0,28,8
2022-01-30,0,5,6,27,9
2022-02-06,0,8,7,34,11
2022-02-13,0,2,7,30,14
2022-02-20,0,7,5,23,8
2022-02-27,0,6,9,25,11
2022-03-06,0,2,8,29,9
2022-03-13,0,4,6,29,9
2022-03-20,0,7,8,31,10
2022-03-27,2,4,5,26,6
2022-04-03,0,7,7,23,6
2022-04-10,2,2,5,31,8
2022-04-17,0,4,6,24,8
2022-04-24,0,6,11,26,12
2022-05-01,0,5,6,28,15
2022-05-08,0,2,7,32,10
2022-05-15,0,7,6,26,9
2022-05-22,0,9,6,33,9
2022-05-29,0,5,2,29,9
2022-06-05,0,7,4,20,13
2022-06-12,2,4,7,23,9
2022-06-19,6,4,9,32,12
2022-06-26,0,5,3,16,7
2022-07-03,0,3,7,23,7
2022-07-10,0,6,6,21,12
2022-07-17,3,4,8,26,9
2022-07-24,0,4,4,31,11
2022-07-31,0,8,4,25,19
2022-08-07,0,12,7,27,13
2022-08-14,0,8,6,19,3
2022-08-21,0,6,7,22,13
2022-08-28,0,4,4,24,12
2022-09-04,2,0,6,26,14
2022-09-11,0,10,10,29,6
2022-09-18,0,3,8,26,12
2022-09-25,0,11,2,28,11
2022-10-02,0,5,0,23,10
2022-10-09,0,13,0,18,8
2022-10-16,0,7,5,27,11
2022-10-23,0,3,7,25,23
2022-10-30,0,0,9,28,15
2022-11-06,0,4,4,38,19
2022-11-13,2,4,7,36,2
2022-11-20,0,5,9,35,18
2022-11-27,0,5,6,34,10
2022-12-04,0,3,12,40,8
2022-12-11,0,5,8,49,15
2022-12-18,0,7,6,65,11
2022-12-25,0,5,13,51,12
2023-01-01,0,5,9,36,17
2023-01-08,0,5,9,40,13
2023-01-15,0,0,10,32,6
2023-01-22,0,0,10,30,16
2023-01-29,0,10,11,31,20
2023-02-05,0,8,7,32,12
2023-02-12,3,5,6,29,14
2023-02-19,5,9,7,40,9
2023-02-26,0,0,7,40,13
2023-03-05,0,2,11,30,9
2023-03-12,0,0,8,40,12
2023-03-19,0,0,6,34,10
2023-03-26,0,0,10,49,14
2023-04-02,0,5,11,35,13
2023-04-09,0,5,6,36,7
2023-04-16,0,0,8,44,7
2023-04-23,0,0,8,46,11
2023-04-30,0,8,4,27,13
2023-05-07,0,8,0,39,21
2023-05-14,3,0,0,45,14
2023-05-21,3,9,6,40,8
2023-05-28,0,11,8,37,8
2023-06-04,0,13,0,36,9
2023-06-11,0,7,4,37,16
2023-06-18,0,4,6,41,8
2023-06-25,0,7,7,32,12
2023-07-02,0,3,9,36,18
2023-07-09,0,5,19,18,8
2023-07-16,0,10,5,48,13
2023-07-23,0,3,3,42,15
2023-07-30,0,5,7,32,19
2023-08-06,5,6,6,30,8
2023-08-13,0,0,4,43,12
2023-08-20,0,5,11,44,2
2023-08-27,0,3,4,43,11
2023-09-03,0,7,5,42,9
2023-09-10,0,4,6,39,12
2023-09-17,0,7,6,48,12
2023-09-24,0,3,4,45,7
2023-10-01,0,10,7,30,8
2023-10-08,3,9,8,50,18
2023-10-15,0,3,0,48,6
2023-10-22,0,6,7,66,13
2023-10-29,0,0,6,87,9
2023-11-05,0,6,4,83,14
2023-11-12,0,7,11,85,19
2023-11-19,0,8,2,100,11
2023-11-26,0,9,14,94,13
2023-12-03,0,0,0,73,18